Cow;days;milk_fit_conc;milk_real_conc;fat_fit_conc;fat_real_conc;protein_fit_conc;protein_real_conc;fit_price;real_price
67388;60;37,54978112;54,44988633;4,303640652;4,537137819;3,165123077;3,338852811;11,3112698;17,59934987
67388;61;37,51969321;54,4062567;4,301960238;4,535366233;3,167031354;3,340865831;11,30417981;17,58826923
67388;62;37,48815663;54,36052639;4,300383511;4,53370396;3,168986135;3,342927908;11,29693944;17,57694696
67388;63;37,45524072;54,31279594;4,298906535;4,532146849;3,170984594;3,34503606;11,28955499;17,56539322
67388;64;37,42101122;54,26316071;4,29752558;4,53069097;3,173024085;3,347187497;11,28203246;17,55361773
67388;65;37,38553054;54,21171116;4,296237116;4,529332599;3,175102125;3,349379597;11,27437757;17,54162972
67388;66;37,34885788;54,15853316;4,295037791;4,528068204;3,177216381;3,351609902;11,26659578;17,52943806
67388;67;37,31104952;54,10370832;4,293924426;4,526894433;3,179364666;3,353876104;11,25869234;17,51705118
67388;68;37,27215895;54,04731419;4,292894001;4,525808101;3,181544921;3,356176031;11,25067224;17,50447717
67388;69;37,23223704;53,98942456;4,291943643;4,524806181;3,18375521;3,35850764;11,24254028;17,49172376
67388;70;37,19133224;53,93010965;4,291070623;4,523885794;3,18599371;3,360869008;11,23430104;17,47879838
67388;71;37,14949066;53,86943634;4,290272338;4,523044198;3,188258704;3,363258325;11,22595893;17,4657081
67388;72;37,10675624;53,80746836;4,289546313;4,522278781;3,190548573;3,365673882;11,21751817;17,45245975
67388;73;37,06317088;53,74426645;4,288890185;4,521587055;3,19286179;3,368114069;11,20898281;17,43905986
67388;74;37,01877455;53,67988858;4,288301703;4,520966645;3,195196914;3,370577365;11,20035674;17,42551469
67388;75;36,9736054;53,61439005;4,287778716;4,520415283;3,197552584;3,373062335;11,1916437;17,41183027
67388;76;36,92769983;53,54782367;4,287319171;4,519930805;3,199927514;3,375567621;11,18284727;17,39801239
67388;77;36,88109264;53,48023989;4,286921106;4,519511142;3,202320488;3,378091942;11,17397092;17,3840666
67388;78;36,83381708;53,41168692;4,286582643;4,519154316;3,204730355;3,380634084;11,16501797;17,36999826
67388;79;36,78590493;53,34221086;4,286301988;4,518858433;3,207156027;3,383192898;11,15599161;17,35581252
67388;80;36,73738662;53,27185581;4,286077421;4,518621683;3,209596472;3,385767297;11,14689494;17,34151435
67388;81;36,68829124;53,20066398;4,285907297;4,518442328;3,212050716;3,388356251;11,13773093;17,3271085
67388;82;36,63864665;53,12867575;4,285790038;4,518318707;3,21451783;3,390958783;11,12850243;17,3125996
67388;83;36,58847954;53,05592982;4,285724131;4,518249225;3,216996939;3,393573967;11,11921221;17,29799207
67388;84;36,53781547;52,98246327;4,285708126;4,518232351;3,219487209;3,396200924;11,10986292;17,2832902
67388;85;36,48667894;52,90831163;4,285740629;4,518266617;3,22198785;3,398838822;11,10045716;17,26849812
67388;86;36,43509345;52,83350896;4,285820303;4,518350614;3,224498111;3,401486869;11,09099738;17,2536198
67388;87;36,38308154;52,75808793;4,285945863;4,518482987;3,227017281;3,404144313;11,08148601;17,23865911
67388;88;36,33066481;52,68207991;4,286116076;4,518662434;3,229544681;3,406810439;11,07192534;17,22361975
67388;89;36,27786404;52,60551498;4,286329752;4,518887704;3,232079669;3,409484569;11,06231762;17,20850532
67388;90;36,22469912;52,52842203;4,286585752;4,519157593;3,234621632;3,412166057;11,05266502;17,1933193
67388;91;36,17118921;52,4508288;4,286882974;4,519470941;3,237169988;3,41485429;11,04296962;17,17806503
67388;92;36,11735267;52,37276195;4,287220362;4,519826634;3,239724184;3,417548682;11,03323347;17,16274576
67388;93;36,06320718;52,29424709;4,287596895;4,520223597;3,242283692;3,420248678;11,02345851;17,14736464
67388;94;36,00876971;52,21530884;4,288011593;4,520660794;3,244848011;3,42295375;11,01364665;17,13192471
67388;95;35,95405659;52,13597087;4,288463507;4,521137228;3,247416663;3,425663391;11,00379972;17,11642891
67388;96;35,89908352;52,05625595;4,288951726;4,521651935;3,249989192;3,428377123;10,99391951;17,10088009
67388;97;35,84386559;51,97618599;4,289475369;4,522203989;3,252565164;3,431094488;10,98400774;17,08528101
67388;98;35,78841735;51,89578204;4,290033586;4,522792493;3,255144168;3,43381505;10,97406609;17,06963435
67388;99;35,73275278;51,81506441;4,290625558;4,523416581;3,257725807;3,436538393;10,96409618;17,0539427
67388;100;35,67688535;51,73405261;4,29125049;4,524075421;3,260309708;3,43926412;10,95409958;17,03820857
67388;101;35,62082802;51,65276545;4,29190762;4,524768203;3,26289551;3,441991854;10,94407781;17,02243441
67388;102;35,56459328;51,57122103;4,292596207;4,52549415;3,265482873;3,444721234;10,93403237;17,00662258
67388;103;35,50819317;51,4894368;4,293315536;4,526252506;3,26807147;3,447451916;10,92396467;16,99077537
67388;104;35,45163927;51,40742958;4,294064916;4,527042545;3,27066099;3,450183572;10,91387613;16,97489501
67388;105;35,39494276;51,32521555;4,294843679;4,527863561;3,273251137;3,452915888;10,90376809;16,95898366
67388;106;35,3381144;51,24281034;4,295651179;4,528714871;3,275841625;3,455648565;10,89364186;16,94304341
67388;107;35,28116458;51,160229;4,296486787;4,529595816;3,278432185;3,458381318;10,88349873;16,92707631
67388;108;35,2241033;51,07748604;4,2973499;4,530505758;3,281022558;3,461113873;10,87333994;16,91108433
67388;109;35,16694022;50,99459546;4,298239929;4,531444076;3,283612497;3,463845971;10,86316669;16,89506939
67388;110;35,10968466;50,91157077;4,299156306;4,532410172;3,286201767;3,466577362;10,85298015;16,87903337
67388;111;35,05234559;50,828425;4,30009848;4,533403464;3,288790141;3,469307809;10,84278147;16,86297808
67388;112;34,99493169;50,74517071;4,301065916;4,534423389;3,291377405;3,472037085;10,83257175;16,84690527
67388;113;34,93745133;50,66182004;4,302058098;4,535469403;3,293963353;3,474764973;10,82235207;16,83081668
